"date","order_id","customer_id","product_id","product_name","category","quantity","price","discount","region","payment_method","shipping_type"
2024-01-01,"ORD15061","C1273","SKU-5161","Audífonos Pro","Accesorios",3,60656,0.05,"Biobío","Crédito","Retiro En Tienda"
2024-01-01,"ORD10554","C1296","SKU-654","Funda Celular","Accesorios",4,96062,0.2,"Araucanía","Transferencia","Express"
2024-01-01,"ORD12043","C1096","SKU-2143","Cámara Web HD","Deporte",3,68386,0.15,"Norte","Tarjeta","Express"
2024-01-01,"ORD13470","C1257","SKU-3570","Funda Celular","Accesorios",5,18959,0.1,"Biobío","Efectivo","Otro"
2024-01-01,"ORD14924","C1293","SKU-5024","Plancha Pelo","Deporte",5,33861,0.25,"Metropolitana","Otro","Retiro En Tienda"
2024-01-01,"ORD18736","C1276","SKU-8836","Colchoneta Yoga","Electrónica",147,20720,0.05,"Norte","Débito","Otro"
2024-01-01,"ORD16635","C1152","SKU-6735","Secador Pelo","Electrónica",2,9580,0,"Biobío","Otro","Retiro En Tienda"
2024-01-01,"ORD16889","C1111","SKU-6989","Tendedero Plegable","Deporte",5,48805,0,"Araucanía","Tarjeta","Otro"
2024-01-01,"ORD18864","C1159","SKU-8964","Funda Celular","Accesorios",5,82417,0.1,"Metropolitana","Debito","Express"
2024-01-02,"ORD10961","C1337","SKU-1061","Balón Fútbol","Belleza",5,62635,0.1,"Araucanía","Transferencia","Normal"
2024-01-02,"ORD17963","C1128","SKU-8063","Cargador Rápido","Electrónica",5,78110,0.15,"Biobío","Tarjeta","Otro"
2024-01-02,"ORD12976","C1158","SKU-3076","Audífonos Pro","Accesorios",3,80618,0.05,"Metropolitana","Efectivo","Retiro En Tienda"
2024-01-02,"ORD15563","C1188","SKU-5663","Cuchillos Cocina","Hogar",10,45781,0,"Metropolitana","Efectivo","Express"
2024-01-02,"ORD15136","C1224","SKU-5236","Funda Celular","Accesorios",3,77140,0.1,"Metropolitana","Débito","Express"
2024-01-02,"ORD19027","C1383","SKU-9127","Set Mancuernas","Accesorios",4,118208,0,"Centro","Transferencia","Normal"
2024-01-02,"ORD16539","C1317","SKU-6639","Tendedero Plegable","Deporte",5,4082,0.3,"Biobío","Transferencia","Económico"
2024-01-02,"ORD12912","C1220","SKU-3012","Sartén Antiadherente","Belleza",1,65015,0.2,"Biobío","Transferencia","Express"
